aX,aY,aZ,gX,gY,gZ
-0.249634,1.009277,-0.035034,25.024412,-19.042969,4.760742
-0.258179,0.990112,0.050537,18.127441,-20.446775,5.432128
-0.255005,1.027710,0.131226,13.122558,-16.357422,7.141113
-0.250610,1.054810,0.093018,6.774902,-6.896972,5.859375
-0.254883,1.076416,0.071289,1.159668,-3.051758,1.464844
-0.267212,1.066406,0.064697,-2.868652,-2.807617,-2.990722
-0.262451,1.014404,0.060669,-1.281738,-1.586914,-5.126953
-0.249878,0.995850,0.004761,3.723144,1.159668,-4.028320
-0.246948,1.012695,0.007935,2.990722,-1.098633,-2.990722
-0.249268,0.993286,0.097412,-5.065917,1.525879,-2.868652
-0.231567,1.002075,0.055054,-7.873535,6.103515,-2.563476
-0.215332,0.976807,-0.011597,-6.469726,9.033203,-4.455566
-0.214478,0.967773,0.006592,-7.263183,6.652832,-4.943848
-0.222168,0.954590,0.053833,-9.094238,7.263183,-4.333496
-0.225952,0.983887,0.046753,-10.314940,11.718749,-2.258301
-0.225342,0.994263,0.030518,-12.390136,15.319823,-3.479004
-0.221313,0.994873,-0.045166,-17.028809,18.310547,-5.126953
-0.213257,0.973022,-0.125000,-17.578125,17.150879,-5.920410
-0.211914,0.983276,-0.117676,-14.526366,11.291503,-5.554199
-0.215942,0.974976,-0.059692,-8.789063,6.042480,-5.676269
-0.218872,0.958130,0.007813,-9.521484,8.544922,-4.821777
-0.214233,0.991211,-0.031494,-16.601562,14.038085,-2.929687
-0.213379,0.995850,-0.050293,-17.700195,15.136718,-5.737304
-0.208618,0.956299,-0.095703,-11.657714,13.793944,-6.225585
-0.193237,0.935547,-0.115356,-6.835937,13.854980,-5.676269
-0.179443,0.901489,-0.159668,3.051758,14.648437,-3.051758
-0.171021,0.930054,-0.137329,-1.647949,11.108397,0.427246
-0.194092,0.984985,-0.023926,-11.840819,9.765625,-3.723144
-0.221680,0.995239,0.022949,-15.258788,14.282226,-5.798339
-0.212891,0.988403,-0.172729,-18.676758,27.465818,-6.225585
-0.210693,1.028320,-0.261353,-16.052246,25.634764,-4.943848
-0.209473,1.078003,-0.257446,-13.549804,19.958496,-8.789063
-0.194092,0.954834,-0.203125,-8.605957,13.427733,-16.479492
-0.185181,0.949097,-0.197388,-5.615234,14.770507,-11.657714
-0.179932,1.011719,-0.169189,-12.878417,16.967773,-11.108397
-0.169922,0.964966,-0.218384,-16.662598,18.005371,-12.512206
-0.158691,0.961670,-0.267944,-18.859863,15.991210,-12.451171
-0.150269,0.918213,-0.268311,-17.822266,13.488769,-12.634276
-0.123535,0.886475,-0.304688,-12.023925,11.657714,-8.056641
-0.117188,0.910400,-0.295044,-8.789063,10.009766,-5.798339
-0.126587,0.940552,-0.313965,-6.469726,8.666992,-4.028320
-0.130127,0.949097,-0.329834,-6.408691,4.455566,-3.417969
-0.140015,0.934937,-0.272461,-7.751464,1.098633,-3.356933
-0.146118,0.959351,-0.251831,-11.596679,1.098633,-0.610352
-0.147949,0.965698,-0.281494,-11.657714,2.197266,-0.366211
-0.147461,0.927979,-0.291382,-11.108397,-1.464844,2.197266
-0.147339,0.983398,-0.276855,-11.474608,-2.014160,4.638672
-0.140747,0.997559,-0.300659,-12.207030,-2.380371,4.150391
-0.142334,0.985474,-0.310547,-5.676269,-7.141113,0.000000
-0.154053,0.950928,-0.239014,-5.371093,-9.826660,-0.854492
-0.163086,0.921509,-0.217041,-8.178711,-8.483887,-0.122070
-0.167480,0.956299,-0.232422,-10.009766,-6.164550,3.906250
-0.167480,0.968140,-0.237793,-3.601074,-7.324218,4.028320
-0.167358,0.967163,-0.215698,-0.610352,-9.582520,3.417969
-0.163818,0.975220,-0.163818,-1.770019,-10.070800,2.502441
-0.165527,0.943726,-0.129028,-4.760742,-6.530761,-0.671387
-0.166138,0.917480,-0.186401,-3.356933,0.915527,1.586914
-0.155518,1.018188,-0.302856,3.540039,-5.676269,1.586914
-0.165894,0.984985,-0.263672,3.479004,-10.009766,-4.638672
-0.172363,0.907593,-0.229980,9.582520,-14.038085,-5.615234
-0.170410,0.931274,-0.201294,17.822266,-14.648437,3.173828
-0.167725,0.986206,-0.202515,16.967773,-13.854980,3.540039
-0.179199,0.948853,-0.175171,11.352538,-14.526366,1.342773
-0.179321,0.956909,-0.166382,13.061522,-11.962890,4.882812
-0.173462,0.952148,-0.184326,16.235352,-9.826660,6.530761
-0.177368,0.955078,-0.213257,15.563964,-10.131835,7.629394
-0.178101,1.010986,-0.226074,13.122558,-13.000487,9.277344
-0.176636,0.985107,-0.191284,12.207030,-17.883301,6.103515
-0.181152,0.956787,-0.093628,12.634276,-17.822266,6.774902
-0.178955,0.989258,-0.123413,15.930175,-12.023925,7.934570
-0.174561,0.980835,-0.147583,15.014647,-9.460449,6.408691
-0.175049,0.984497,-0.191650,9.399414,-11.108397,5.065917
-0.179565,0.995972,-0.197021,10.009766,-13.488769,3.723144
-0.183594,0.949219,-0.125488,15.563964,-18.127441,-0.610352
-0.186523,0.919678,-0.096558,15.869140,-16.113281,2.258301
-0.184082,0.955811,-0.108887,17.272949,-13.977050,5.310058
-0.190918,0.967163,-0.073242,17.272949,-13.854980,6.774902
-0.194824,0.959106,-0.061768,13.671874,-12.817382,6.896972
-0.197510,0.979980,-0.080200,11.352538,-11.352538,8.056641
-0.191895,1.010742,-0.102539,13.488769,-12.023925,6.469726
-0.210693,1.000610,-0.017822,15.319823,-15.686034,2.624511
-0.214355,0.987183,0.006104,5.798339,-12.634276,2.258301
-0.212158,0.969482,-0.005615,2.502441,-10.192870,3.234863
-0.217285,1.032959,-0.014160,6.469726,-7.446289,6.042480
-0.222656,1.039795,-0.007935,1.831055,-6.469726,4.272461
-0.233887,1.043701,0.017822,-3.601074,-3.540039,1.220703
-0.233643,1.023926,-0.024292,1.464844,-2.929687,-0.732422
-0.226562,1.005005,0.007690,6.835937,-4.211426,-2.319336
-0.228027,0.981812,0.016846,2.075195,-2.990722,-1.342773
-0.227051,0.992432,0.069946,0.793457,-1.220703,0.366211
-0.207520,1.000610,0.023682,0.122070,6.042480,0.732422
-0.203491,0.993530,-0.008423,-4.150391,8.422852,-1.037598
-0.211548,1.025146,-0.020386,-4.577637,8.483887,-2.685547
-0.209351,1.022705,-0.059937,-0.915527,8.239746,-4.699707
-0.211914,0.960449,-0.003296,-3.662109,5.432128,-7.507324
-0.215454,0.937378,0.016479,-10.314940,9.155273,-3.479004
-0.206665,0.951416,-0.025269,-8.850098,15.747069,2.197266
-0.196533,0.979126,-0.046143,-7.324218,15.319823,2.624511
-0.192993,0.976685,-0.089966,-8.789063,17.028809,0.305176
-0.192017,1.001221,-0.122559,-11.352538,14.892577,-2.380371
-0.198120,0.977295,-0.130127,-7.995605,9.887695,-7.324218
-0.197876,0.942505,-0.056152,-6.225585,8.117676,-7.446289
-0.197754,0.939941,-0.059937,-9.155273,13.671874,-5.004883
-0.197021,0.969482,-0.106567,-10.314940,19.165039,-2.502441
-0.200928,0.975342,-0.120850,-10.375976,17.761230,-3.112793
-0.205444,1.019409,-0.107544,-8.117676,14.709472,-4.272461
-0.203125,1.017822,-0.099365,-9.765625,14.831542,-8.728027
-0.192871,0.963257,-0.112549,-16.296387,18.310547,-9.277344

-0.196289,1.012939,-0.075317,17.578125,-13.427733,5.676269
-0.204224,1.002197,-0.017456,11.474608,-11.474608,3.356933
-0.210327,1.015869,-0.021973,9.155273,-9.155273,3.723144
-0.214722,1.008057,-0.044922,9.216309,-6.530761,2.380371
-0.220581,1.022461,-0.035400,10.681151,-6.896972,0.854492
-0.228516,1.017578,0.003662,7.690429,-6.286621,-0.366211
-0.226929,0.980469,-0.001587,-0.549316,-2.319336,-0.549316
-0.225952,0.998535,0.013550,2.136230,0.000000,2.136230
-0.220947,0.998535,-0.016846,0.976562,3.601074,1.770019
-0.219238,1.024536,-0.009033,1.770019,1.953125,0.427246
-0.219238,1.007568,-0.001099,2.075195,2.136230,-1.708984
-0.231323,0.924316,0.019409,-2.075195,3.234863,-0.244141
-0.218140,0.960449,0.013916,-7.812500,9.460449,11.840819
-0.217407,0.956299,-0.002319,-12.023925,14.709472,15.014647
-0.196533,1.016968,-0.080566,-12.512206,17.089844,16.174316
-0.214722,0.989014,-0.097412,-16.845703,14.404296,5.310058
-0.211060,1.006104,-0.161133,-12.451171,16.052246,1.647949
-0.211792,1.023804,-0.185791,-13.854980,12.145995,-3.356933
-0.230103,0.997559,-0.071655,-15.258788,9.216309,-6.652832
-0.224121,0.968750,-0.109985,-16.052246,19.653320,-7.324218
-0.218140,1.000000,-0.219360,-15.624999,19.836426,-7.324218
-0.210449,1.033325,-0.232544,-12.268065,13.549804,-9.643555
-0.207031,1.003296,-0.208740,-9.704590,7.507324,-15.563964
