"aX,aY,aZ,gX,gY,gZ"
"-0.620361,-0.893433,-0.027466,30.883787,-3.967285,102.111809"
"-0.556152,-0.829346,-0.067505,24.719236,1.892090,98.571770"
"-0.526001,-0.985474,-0.105591,-4.455566,7.446289,82.031242"
"-0.499268,-1.383301,-0.129883,-26.000975,2.319336,104.736320"
"-0.494507,-1.427856,-0.102661,-31.372068,-1.403808,129.577637"
"-0.504761,-1.219604,-0.126465,-18.798828,-6.713867,178.649887"
"-0.496704,-0.785889,-0.040161,29.052732,-18.310547,207.458481"
"-0.432007,-0.701294,0.017456,36.621094,-13.183593,189.331039"
"-0.289063,-0.940308,-0.012695,23.193357,-1.342773,170.104965"
"-0.231934,-1.105469,-0.100586,8.789063,15.075683,156.250000"
"-0.214600,-1.076660,-0.135498,-12.756347,16.723633,162.292465"
"-0.189819,-1.093140,-0.193970,-41.625973,4.089355,167.907700"
"-0.168579,-1.015381,-0.121094,-30.517576,-3.906250,175.964340"
"-0.115601,-0.907227,0.011719,4.821777,-7.202148,181.701645"
"-0.081909,-0.950439,0.056641,9.521484,5.554199,173.400864"
"-0.000610,-0.990234,-0.007690,3.662109,15.075683,171.936020"
"0.066650,-1.156250,-0.093994,-21.362303,25.756834,168.212875"
"0.076660,-1.080933,-0.109741,-13.671874,20.263670,188.720688"
"0.145874,-0.633179,-0.123779,-5.859375,15.319823,179.443344"
"0.248535,-0.760376,-0.152710,-7.507324,15.502929,160.766586"
"0.282593,-0.975708,-0.092529,8.178711,9.765625,148.620605"
"0.306885,-0.822754,-0.032227,28.625486,5.615234,161.743149"
"0.372192,-0.549194,-0.091553,20.263670,13.488769,141.601562"
"0.448486,-0.588867,-0.170898,8.056641,11.840819,110.595695"
"0.479248,-0.632080,-0.156250,6.103515,7.629394,103.149406"
"0.495239,-0.679321,-0.060425,1.708984,4.089355,91.674797"
"0.529053,-0.539917,-0.058105,10.131835,10.498046,87.219231"
"0.573486,-0.502441,-0.158325,12.329101,12.268065,78.674316"
"0.589722,-0.437500,-0.196411,18.005371,6.713867,64.575195"
"0.595337,-0.388306,-0.172729,6.835937,-1.220703,45.166012"
"0.612061,-0.453125,-0.130493,-14.892577,-0.061035,20.751951"
"0.610352,-0.545288,-0.124878,-17.333984,0.366211,15.563964"
"0.612793,-0.352173,-0.136597,-7.385253,-2.197266,12.634276"
"0.611694,-0.280151,-0.150269,-11.657714,-4.638672,-10.009766"
"0.593750,-0.378784,-0.123779,-13.671874,-7.263183,-36.682129"
"0.570435,-0.526611,-0.070801,-12.695312,-6.591796,-43.212887"
"0.565796,-0.612183,-0.096313,-16.479492,-1.953125,-49.499508"
"0.568237,-0.678345,-0.116699,-21.972654,-1.220703,-51.147457"
"0.547363,-0.664795,-0.095215,-18.066406,-4.089355,-47.241207"
"0.532715,-0.569824,-0.034668,-9.277344,-5.737304,-46.997066"
"0.521973,-0.590210,-0.078125,-21.606443,2.502441,-61.828609"
"0.514282,-0.636353,-0.091187,-27.832029,2.258301,-76.904297"
"0.502686,-0.772949,-0.085937,-24.902342,0.854492,-80.993645"
"0.491455,-0.899048,-0.093750,-14.038085,0.793457,-79.833984"
"0.487061,-0.897095,-0.085937,1.342773,1.281738,-69.152832"
"0.476562,-0.815063,-0.095337,10.131835,1.831055,-65.307617"
"0.448120,-0.682129,-0.115112,9.155273,-0.061035,-68.054199"
"0.387085,-0.677124,-0.033325,-8.728027,-5.493164,-86.364738"
"0.372681,-0.754761,0.007446,-31.982420,0.061035,-106.933586"
"0.370972,-0.946289,-0.072876,-39.978027,6.164550,-110.534660"
"0.358032,-1.014526,-0.197754,-38.757324,5.065917,-103.271477"
"0.332397,-0.889404,-0.074463,4.394531,-11.596679,-91.552727"
"0.294800,-0.831665,-0.051025,14.465331,-8.300781,-94.116203"
"0.250366,-0.851318,-0.078003,11.718749,-8.666992,-97.473137"
"0.219360,-0.905640,-0.027466,7.446289,-12.817382,-100.891106"
"0.184204,-0.896973,-0.003662,-5.554199,-8.911133,-104.675285"
"0.173950,-0.911987,-0.015747,-18.859863,-3.112793,-112.853996"
"0.150024,-0.977417,-0.081177,-18.432617,-2.319336,-114.624016"
"0.111816,-1.009521,-0.126587,-11.291503,-7.934570,-111.877434"
"0.058472,-1.009766,-0.096069,1.403808,-17.944336,-106.201164"
"0.030396,-1.025635,-0.054810,5.859375,-22.827147,-102.905266"
"0.003540,-1.098511,0.064575,5.737304,-22.338865,-100.585930"
"-0.003174,-1.013306,0.052612,5.493164,-11.779784,-91.308586"
"-0.020752,-0.873169,-0.018433,7.690429,-0.854492,-95.886223"
"-0.082886,-0.709351,-0.069336,-14.099120,5.065917,-135.925293"
"-0.151978,-0.913208,-0.192017,-25.756834,0.427246,-147.338867"
"-0.215210,-1.055054,-0.013916,-20.446775,-23.742674,-149.475098"
"-0.229736,-1.156860,0.079956,-27.648924,-24.047850,-145.996094"
"-0.248169,-1.277588,0.098511,-16.235352,-6.042480,-119.567863"
"-0.289917,-1.058350,-0.029297,-3.234863,-1.892090,-103.759758"
"-0.343628,-0.852173,-0.004272,11.230468,-6.103515,-95.336906"
"-0.362427,-0.865845,0.017334,-8.117676,-2.685547,-111.633293"
"-0.398315,-1.096924,0.000854,-15.075683,1.281738,-117.370598"
"-0.424927,-1.259521,0.050659,-6.286621,0.366211,-109.985344"
"-0.412354,-1.163818,0.043701,21.179197,-1.892090,-76.599121"
"-0.407349,-1.025269,0.007568,20.935057,-1.098633,-49.682613"
"-0.425415,-0.804199,-0.041382,6.835937,0.122070,-58.410641"
"-0.443359,-0.864502,-0.053589,2.746582,1.586914,-67.565918"
"-0.453857,-1.133545,-0.057129,-10.986327,3.356933,-75.256348"
"-0.458862,-1.242310,-0.039429,-11.413573,-2.197266,-53.100582"
"-0.456055,-1.153076,-0.006348,-1.708984,-4.943848,-33.569336"
"-0.455200,-0.857300,-0.038086,20.019531,-4.699707,-7.324218"
"-0.471924,-0.691895,-0.074707,28.625486,-3.173828,-12.512206"
"-0.484253,-0.683960,-0.064575,15.380858,-5.493164,-30.578611"
"-0.481567,-0.831299,-0.062500,0.122070,-5.737304,-39.367676"
"-0.465454,-1.121582,-0.053711,-27.282713,-7.568359,-46.203609"
"-0.468628,-1.172607,-0.038208,-33.935547,-13.183593,-22.949217"
"-0.483765,-1.070068,-0.001465,-3.479004,-12.451171,6.286621"
"-0.510254,-0.857178,-0.002075,18.920898,-8.911133,13.916015"
"-0.502686,-0.821289,-0.005249,33.264160,-3.051758,11.535644"
"-0.490967,-0.889160,-0.031982,16.906738,4.333496,3.662109"
"-0.493652,-1.078613,-0.088623,5.432128,1.159668,11.474608"
"-0.519409,-1.144043,-0.030518,-0.305176,-5.065917,21.667479"
"-0.501831,-1.166260,0.045776,-19.226074,-7.873535,42.419430"
"-0.498779,-1.119263,0.021606,-13.000487,3.906250,62.744137"
"-0.494385,-0.901978,-0.061768,3.845215,6.652832,70.251465"
"-0.443359,-0.902222,-0.113403,20.507811,6.286621,67.504883"
"-0.425293,-1.040161,-0.134888,9.094238,3.479004,59.753414"
"-0.427612,-1.291870,-0.119995,8.605957,-0.915527,67.260742"
"-0.428833,-1.312500,0.005859,7.690429,-11.779784,104.125969"
"-0.430054,-1.205566,0.038208,3.967285,-7.446289,138.549805"
"-0.401978,-0.969360,-0.000977,4.333496,3.417969,147.216797"
"-0.333740,-0.961792,-0.117188,6.591796,5.187988,144.714355"
"-0.294678,-1.091309,-0.145386,5.737304,-3.540039,140.380859"
"-0.281616,-1.150635,-0.062744,13.244628,-12.207030,143.249512"
"-0.259033,-1.169434,0.084229,18.554687,-5.737304,146.789551"
"-0.217529,-0.997925,-0.018433,24.902342,15.502929,155.639648"
"-0.186279,-0.903687,-0.094727,16.296387,17.639160,153.869629"
"-0.104614,-0.869263,-0.183716,1.403808,11.596679,146.667480"
"-0.029053,-1.231323,-0.162354,-26.916502,-2.075195,132.202148"
"-0.021118,-1.283936,-0.117188,-6.225585,-12.878417,159.851074"
"-0.011963,-0.991699,-0.041260,14.160155,-10.803222,182.128891"
"0.037354,-0.860596,-0.022827,12.573241,-5.920410,177.734360"
"0.104248,-0.999756,-0.003174,-7.385253,5.310058,163.757309"
"0.120361,-0.967407,-0.017822,-3.845215,13.671874,169.738754"
"0.179687,-0.843628,-0.068604,20.568846,14.221190,167.602524"
"0.254272,-0.911743,-0.170532,29.968260,11.718749,166.137680"
